"filename", "language", "TypeScript", "JSON", "JSON with Comments", "SCSS", "HTML", "SVG", "JavaScript", "comment", "blank", "total"
"c:\Users\pedro\'sd-gen'\.eslintrc.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\pedro\'sd-gen'\angular.json", "JSON", 0, 150, 0, 0, 0, 0, 0, 8, 1, 159
"c:\Users\pedro\'sd-gen'\capacitor.config.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\pedro\'sd-gen'\ionic.config.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\pedro\'sd-gen'\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 6, 2, 45
"c:\Users\pedro\'sd-gen'\package-lock.json", "JSON", 0, 15859, 0, 0, 0, 0, 0, 0, 1, 15860
"c:\Users\pedro\'sd-gen'\package.json", "JSON", 0, 69, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\pedro\'sd-gen'\src\app\alert.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\pedro\'sd-gen'\src\app\alert.service.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\pedro\'sd-gen'\src\app\app.component.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\pedro\'sd-gen'\src\app\app.component.scss", "SCSS", 0, 0, 0, 91, 0, 0, 0, 0, 28, 119
"c:\Users\pedro\'sd-gen'\src\app\app.component.spec.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\pedro\'sd-gen'\src\app\app.component.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\pedro\'sd-gen'\src\app\app.routes.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\pedro\'sd-gen'\src\app\auth\auth.guard.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\pedro\'sd-gen'\src\app\auth\auth.guard.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\pedro\'sd-gen'\src\app\auth\auth.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\pedro\'sd-gen'\src\app\auth\auth.service.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\pedro\'sd-gen'\src\app\login\login.page.html", "HTML", 0, 0, 0, 0, 27, 0, 0, 0, 3, 30
"c:\Users\pedro\'sd-gen'\src\app\login\login.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\pedro\'sd-gen'\src\app\login\login.page.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\pedro\'sd-gen'\src\app\login\login.page.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\pedro\'sd-gen'\src\app\menu\toggle\toggle.component.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\pedro\'sd-gen'\src\app\menu\toggle\toggle.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\pedro\'sd-gen'\src\app\menu\toggle\toggle.component.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\pedro\'sd-gen'\src\app\menu\toggle\toggle.component.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\pedro\'sd-gen'\src\app\models\folder.models.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 0, 6
"c:\Users\pedro\'sd-gen'\src\app\sd-gen-api.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\pedro\'sd-gen'\src\app\sd-gen-api.service.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 3, 13, 61
"c:\Users\pedro\'sd-gen'\src\app\txt2img\txt2img.page.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\pedro\'sd-gen'\src\app\txt2img\txt2img.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\pedro\'sd-gen'\src\app\txt2img\txt2img.page.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\pedro\'sd-gen'\src\app\txt2img\txt2img.page.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\pedro\'sd-gen'\src\app\user-folder\create-folder-modal\create-folder-modal.component.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\pedro\'sd-gen'\src\app\user-folder\create-folder-modal\create-folder-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\pedro\'sd-gen'\src\app\user-folder\create-folder-modal\create-folder-modal.component.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\pedro\'sd-gen'\src\app\user-folder\create-folder-modal\create-folder-modal.component.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 8, 58
"c:\Users\pedro\'sd-gen'\src\app\user-folder\user-folder.page.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 1, 7, 46
"c:\Users\pedro\'sd-gen'\src\app\user-folder\user-folder.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
